4, 7201, 85
6, 7201, 89
8, 7204, 218
3, 7219, 85
2, 7223, 85
1, 7224, 85
5, 7276, 86
7, 7281, 111
4, 7372, 86
6, 7380, 90
3, 7390, 86
2, 7394, 86
1, 7395, 86
5, 7449, 87
7, 7504, 112
4, 7545, 87
6, 7561, 91
3, 7563, 87
2, 7567, 87
1, 7568, 87
5, 7624, 88
8, 7641, 219
4, 7720, 88
7, 7729, 113
3, 7738, 88
2, 7742, 88
1, 7743, 88
6, 7744, 92
5, 7801, 89
10, 7849, 1907
4, 7897, 89
3, 7915, 89
2, 7919, 89
1, 7920, 89
6, 7929, 93
7, 7956, 114
5, 7980, 90
9, 8001, 609
4, 8076, 90
8, 8080, 220
3, 8094, 90
2, 8098, 90
1, 8099, 90
6, 8116, 94
5, 8161, 91
7, 8185, 115
4, 8257, 91
3, 8275, 91
2, 8279, 91
1, 8280, 91
6, 8305, 95
5, 8344, 92
7, 8416, 116
4, 8440, 92
3, 8458, 92
2, 8462, 92
1, 8463, 92
6, 8496, 96
8, 8521, 221
5, 8529, 93
4, 8625, 93
3, 8643, 93
2, 8647, 93
1, 8648, 93
7, 8649, 117
6, 8689, 97
5, 8716, 94
4, 8812, 94
3, 8830, 94
2, 8834, 94
1, 8835, 94
6, 8884, 98
7, 8884, 118
5, 8905, 95
8, 8964, 222
4, 9001, 95
3, 9019, 95
2, 9023, 95
1, 9024, 95
6, 9081, 99
5, 9096, 96
7, 9121, 119
4, 9192, 96
3, 9210, 96
2, 9214, 96
1, 9215, 96
9, 9220, 610
6, 9280, 100
5, 9289, 97
7, 9360, 120
4, 9385, 97
3, 9403, 97
2, 9407, 97
1, 9408, 97
8, 9409, 223
6, 9481, 101
5, 9484, 98
4, 9580, 98
3, 9598, 98
7, 9601, 121
2, 9602, 98
1, 9603, 98
5, 9681, 99
6, 9684, 102
4, 9777, 99
3, 9795, 99
2, 9799, 99
1, 9800, 99
7, 9844, 122
8, 9856, 224
5, 9880, 100
6, 9889, 103
4, 9976, 100
3, 9994, 100
2, 9998, 100
1, 9999, 100
5, 10081, 101
7, 10089, 123
6, 10096, 104
4, 10177, 101
3, 10195, 101
2, 10199, 101
1, 10200, 101
5, 10284, 102
6, 10305, 105
8, 10305, 225
7, 10336, 124
4, 10380, 102
3, 10398, 102
2, 10402, 102
1, 10403, 102
9, 10441, 611
5, 10489, 103
6, 10516, 106
4, 10585, 103
7, 10585, 125
3, 10603, 103
2, 10607, 103
1, 10608, 103
5, 10696, 104
6, 10729, 107
8, 10756, 226
4, 10792, 104
3, 10810, 104
2, 10814, 104
1, 10815, 104
7, 10836, 126
5, 10905, 105
6, 10944, 108
4, 11001, 105
3, 11019, 105
2, 11023, 105
1, 11024, 105
7, 11089, 127
5, 11116, 106
6, 11161, 109
8, 11209, 227
4, 11212, 106
3, 11230, 106
2, 11234, 106
1, 11235, 106
5, 11329, 107
7, 11344, 128
6, 11380, 110
4, 11425, 107
3, 11443, 107
2, 11447, 107
1, 11448, 107
5, 11544, 108
6, 11601, 111
7, 11601, 129
4, 11640, 108
3, 11658, 108
2, 11662, 108
1, 11663, 108
8, 11664, 228
9, 11664, 612
10, 11664, 1908
5, 11761, 109
6, 11824, 112
4, 11857, 109
7, 11860, 130
3, 11875, 109
